"","year","Trophic_interval","Species","chao","chao.se","jack1","jack1.se","jack2","boot","boot.se","n","total_sr","total_sr_chao","total_sr_jack1","total_sr_jack2","total_sr_boot","tips","tips_chao","tips_jack1","tips_jack2","tips_boot","Region"
"1",1973,"3.0-3.4",18,25.9139784946237,11.5401945270154,21.9569892473118,1.97849462365591,24.9031089294063,19.7096464580113,1.14490091992937,93,51,61.5519713261649,58.9139784946237,59.965901743706,55.2169139818231,0.352941176470588,0.421009724567635,0.37269574739916,0.415287825335172,0.356949438798763,"NFLS"
"2",1973,"3.5-3.9",19,21.6379928315412,3.45205268459579,22.9569892473118,1.97849462365591,23.9673913043478,20.9787509534677,1.20348636036571,93,51,61.5519713261649,58.9139784946237,59.965901743706,55.2169139818231,0.372549019607843,0.351540208466779,0.389669647745939,0.399683663672471,0.379933419683209,"NFLS"
"3",1973,"4.0-4.4",14,14,0,14,0,11.095401509952,14.5285165703441,0.712615633755815,94,51,61.5519713261649,58.9139784946237,59.965901743706,55.2169139818231,0.274509803921569,0.227450066965586,0.237634604854901,0.185028510992358,0.263117141518028,"NFLS"
"4",1973,"4.5-4.9",0,0,NA,0,NA,0,0,NA,NA,51,61.5519713261649,58.9139784946237,59.965901743706,55.2169139818231,0,0,0,0,0,"NFLS"
"5",1974,"3.0-3.4",18,19.49,2.27819372895868,20.98,1.72050380218508,20.9998657718121,19.5838829466454,1.04888446164757,150,51,61.671416159409,61.9211060818896,67.8695745213569,55.8257172467064,0.352941176470588,0.316029713824343,0.338818237068542,0.30941502020473,0.350803964776661,"NFLS"
"6",1974,"3.5-3.9",15,21.2015503875969,7.49656893254982,19.9612403100775,2.62816993493545,22.9301114341085,17.1161586236868,1.61288671873008,129,51,61.671416159409,61.9211060818896,67.8695745213569,55.8257172467064,0.294117647058824,0.343782447492285,0.322365693592087,0.337855535353224,0.306599887432644,"NFLS"
"7",1974,"4.0-4.4",16,18.9798657718121,4.51955588623651,18.9798657718121,1.72042630550466,21.9395973154362,17.1256756763742,0.845549990927219,149,51,61.671416159409,61.9211060818896,67.8695745213569,55.8257172467064,0.313725490196078,0.307757903965635,0.306516904699854,0.323261158923759,0.306770365362114,"NFLS"
"8",1974,"4.5-4.9",2,2,0,2,0,2,2,0.000000000000373106468828116,53,51,61.671416159409,61.9211060818896,67.8695745213569,55.8257172467064,0.0392156862745098,0.0324299347177366,0.0322991646395178,0.029468285518287,0.0358257824285813,"NFLS"
"9",1975,"3.0-3.4",16,25.8913043478261,10.1512469394637,20.945652173913,2.21176289078784,25.8369565217391,17.8936921797041,1.12654480093118,92,52,75.2449125952488,66.8095961337333,78.5260258267118,58.0143381215878,0.307692307692308,0.344093752717854,0.313512629712444,0.329024119707205,0.308435686057507,"NFLS"
"10",1975,"3.5-3.9",18,26.9,10.0653696736219,23.9333333333333,2.80092577288031,27.8664169787765,20.5174590746021,1.53727208114451,90,52,75.2449125952488,66.8095961337333,78.5260258267118,58.0143381215878,0.346153846153846,0.357499252403923,0.358231971428562,0.35486855071809,0.353661865995974,"NFLS"
"11",1975,"4.0-4.4",15,19.4536082474227,7.12280866168319,17.9690721649485,2.21762138717505,19.9380369415808,16.2424976341504,1.12853867227684,97,52,75.2449125952488,66.8095961337333,78.5260258267118,58.0143381215878,0.288461538461538,0.258537189777413,0.268959449013576,0.253903552760702,0.279973850604122,"NFLS"
"12",1975,"4.5-4.9",3,3,0.39254643313833,3.96153846153846,0.961538461538462,4.88461538461539,3.36068923313115,0.480200489657185,26,52,75.2449125952488,66.8095961337333,78.5260258267118,58.0143381215878,0.0576923076923077,0.0398698051008093,0.0592959498454177,0.0622037768140026,0.0579285973423974,"NFLS"
"13",1976,"3.0-3.4",17,17.992700729927,2.28214116008175,18.985401459854,1.40389083564044,20.956204379562,17.9767621876717,0.863235585526351,137,59,73.906880399674,69.9300689344791,78.827396244431,63.6857018762225,0.288135593220339,0.24345095656353,0.27149124474112,0.265849252645365,0.282273126589871,"NFLS"
"14",1976,"3.5-3.9",21,30.9390243902439,10.2454466620746,25.969512195122,2.63192233349351,30.9085365853659,22.9019893096763,1.31761760142264,164,59,73.906880399674,69.9300689344791,78.827396244431,63.6857018762225,0.35593220338983,0.418621706435608,0.371364029677335,0.392103989957038,0.359609592655317,"NFLS"
"15",1976,"4.0-4.4",19,22.9751552795031,5.26098322785249,22.9751552795031,1.98757763975155,24.9626552795031,20.8065545624377,1.10042569881985,161,59,73.906880399674,69.9300689344791,78.827396244431,63.6857018762225,0.322033898305085,0.310866257042077,0.328544725174369,0.316674867733776,0.326706842343932,"NFLS"
"16",1976,"4.5-4.9",2,2,0,2,0,2,2.00039581643673,0.0198911982060849,14,59,73.906880399674,69.9300689344791,78.827396244431,63.6857018762225,0.0338983050847458,0.0270610799587858,0.0286000004071768,0.025371889663821,0.0314104384108796,"NFLS"
"17",1977,"3.0-3.4",16,16,0,16,0,14.0214029697901,16.3442847429284,0.55857460360132,280,64,69.1080125472709,71.948963866483,72.9181766630331,68.0215950436212,0.25,0.231521634181793,0.222379852886992,0.192289544410652,0.240280821589777,"NFLS"
"18",1977,"3.5-3.9",27,30.1145484949833,3.64691396100402,31.9832775919732,2.22858948928073,32.9899216628134,29.4277451903423,1.29402604286844,299,64,69.1080125472709,71.948963866483,72.9181766630331,68.0215950436212,0.421875,0.435760592512836,0.444527285359177,0.452423842346816,0.432623568610391,"NFLS"
"19",1977,"4.0-4.4",18,19.9934640522876,3.73030304875838,19.9934640522876,1.40959194942416,20.990185363763,18.8868550765975,0.772020741777532,306,64,69.1080125472709,71.948963866483,72.9181766630331,68.0215950436212,0.28125,0.289307466896285,0.277883974665567,0.287859438131072,0.277659691227259,"NFLS"
"20",1977,"4.5-4.9",3,3,0.3969080601732,3.97222222222222,0.972222222222222,4.91666666666667,3.36271003375301,0.480782139197923,36,64,69.1080125472709,71.948963866483,72.9181766630331,68.0215950436212,0.046875,0.0434103064090862,0.0552088870882636,0.0674271751114594,0.0494359185725732,"NFLS"
"21",1978,"3.0-3.4",32,34.6637265711136,3.48199831016455,35.9955898566703,1.99779492833517,36.9966887417219,33.9418203173105,1.15714021039592,907,95,102.277918102505,106.975309817849,108.993306872539,100.942494634687,0.336842105263158,0.338917013703514,0.33648502554432,0.339440006027042,0.336249073694352,"NFLS"
"22",1978,"3.5-3.9",37,40.1216577540107,3.65426357065887,41.9946524064171,2.23367646094631,42.9967868634703,39.4473740454769,1.30734924130628,935,95,102.277918102505,106.975309817849,108.993306872539,100.942494634687,0.389473684210526,0.392280743471919,0.392563970863212,0.394490158131934,0.390790560390229,"NFLS"
"23",1978,"4.0-4.4",22,22.9989440337909,1.86913535903826,23.9978880675818,1.4127202006388,23.9999977675133,23.0559413908773,0.863092595348734,947,95,102.277918102505,106.975309817849,108.993306872539,100.942494634687,0.231578947368421,0.224867150803177,0.224331091991638,0.220196986917553,0.228406693081218,"NFLS"
"24",1978,"4.5-4.9",4,4.49358974358974,1.30833631703576,4.98717948717949,0.987179487179487,4.9998334998335,4.49735888102199,0.586380421541858,78,95,102.277918102505,106.975309817849,108.993306872539,100.942494634687,0.0421052631578947,0.04393509202139,0.0466199116008298,0.0458728489234711,0.0445536728342017,"NFLS"
"25",1979,"3.0-3.4",26,33.98751950078,11.6442455767414,29.99375975039,1.99687987519501,32.98595700078,27.8392537036532,1.23557462030413,641,85,100.952353906932,98.9321876867806,106.822807949894,91.3240714470731,0.305882352941176,0.336668915438201,0.30317493680975,0.308791330557913,0.304840260213184,"NFLS"
"26",1979,"3.5-3.9",33,38.9912408759124,6.47195550889498,38.9912408759124,2.44591384534846,41.9868549110001,35.6648262017568,1.34407073182583,685,85,100.952353906932,98.9321876867806,106.822807949894,91.3240714470731,0.388235294117647,0.386234093281853,0.394120880045216,0.393051406500141,0.390530400546437,"NFLS"
"27",1979,"4.0-4.4",22,22.9985935302391,1.86857328644813,23.9971870604782,1.41222451376216,23.9999960381133,23.0935266290374,0.888623985976839,711,85,100.952353906932,98.9321876867806,106.822807949894,91.3240714470731,0.258823529411765,0.227816317700146,0.242561977265208,0.224671083813588,0.252874475076609,"NFLS"
"28",1979,"4.5-4.9",4,4.975,2.11860588405673,5.95,1.37885822331377,7.85,4.72646491262568,0.675083686552091,40,85,100.952353906932,98.9321876867806,106.822807949894,91.3240714470731,0.0470588235294118,0.0492806735798006,0.0601422058798265,0.0734861791283574,0.0517548641637698,"NFLS"
"29",1980,"3.0-3.4",17,22.977358490566,7.20026917175352,20.9849056603774,1.99245283018868,24.9547169811321,18.5875311617405,1.01673494152513,265,59,80.9204189887867,73.945759752904,85.8692695993324,65.1525371289194,0.288135593220339,0.283950068199104,0.283787815968085,0.290612894433262,0.285292514778983,"NFLS"
"30",1980,"3.5-3.9",27,32.9786476868327,6.45932472090568,32.9786476868327,2.4407726974352,35.9679334011185,29.678227061744,1.40587689864571,281,59,80.9204189887867,73.945759752904,85.8692695993324,65.1525371289194,0.457627118644068,0.407544203291912,0.445984297098761,0.418868514533144,0.455519130483264,"NFLS"
"31",1980,"4.0-4.4",15,24.9644128113879,10.2117879518475,19.982206405694,2.63768055231583,24.9466192170819,16.8867789054349,1.2904003843408,281,59,80.9204189887867,73.945759752904,85.8692695993324,65.1525371289194,0.254237288135593,0.308505728508985,0.270227886933154,0.290518591033594,0.259188354737752,"NFLS"
"32",1980,"4.5-4.9",0,0,NA,0,NA,0,0,NA,NA,59,80.9204189887867,73.945759752904,85.8692695993324,65.1525371289194,0,0,0,0,0,"NFLS"
"33",1981,"3.0-3.4",25,26.1232339089482,1.76659372752076,27.9952904238619,1.72933173251775,27.0046997028129,26.7009472857669,1.10115669699527,637,79,91.1085078693899,89.9845912299412,93.9846187060212,84.2537365371628,0.316455696202532,0.286726613352044,0.311112047531831,0.287331055598386,0.316911135139859,"NFLS"
